MUESTRA,ABTS,DPPH,POLIENOLES
PaSAC50,4.4917764523,68.9784495007,2.9140536734
PaSAC50,4.5567543854,68.8922287818,1.9661085025
PaSAC50,4.5095182804,68.8678430389,2.7371417503
PaSAC50,4.7591856385,68.9796990764,1.1990747503
PaSAC50,4.5092705112,68.8997262356,1.4897595383
PaSAC50,4.4370790589,68.895319985,1.4526986783
PaSAC50,4.7142009156,68.9747007738,1.1990747503
PaSAC50,4.296842653,68.9734511982,1.1264035533
PaSAC50,4.504522472,68.9028136976,1.4163812114
PaSAC80,4.6000502411,68.8447150224,2.5228157146
PaSAC80,4.5100130777,68.804172009,3.1200351127
PaSAC80,4.5165236933,68.9778986763,2.0022171921
PaSAC80,4.4977892546,68.8197733184,1.813159038
PaSAC80,4.5299763878,68.8328692672,1.850344164
PaSAC80,4.5990368801,69.0016524725,0.5816599703
PaSAC80,4.5327076402,68.8309970852,1.2329481458
PaSAC80,4.4825635264,68.8740435942,1.1610002598
PaSAC80,4.5215244925,69.0191552697,1.9994561479
PaLIO50,4.733786717,68.900456925,3.0239099859
PaLIO50,4.6756977306,68.3352655318,5.2078527429
PaLIO50,4.6650684432,68.6097490787,5.3232919237
PaLIO50,4.698746117,68.857907625,1.5647743814
PaLIO50,4.7204812296,68.5081795974,3.6173063511
PaLIO50,4.5902805946,68.5972844373,3.2258158052
PaLIO50,4.463473517,68.921731575,1.9286754003
PaLIO50,4.6408661203,68.4484682654,2.8214989539
PaLIO50,5.0963450368,68.6097490787,2.9358548339
PaLIO80,4.6615468701,68.7903687063,3.6882948275
PaLIO80,4.5915014975,67.9285330454,5.866075755
PaLIO80,4.6647287308,68.7080985793,5.3285992935
PaLIO80,4.6615468701,68.8278747003,3.1991298367
PaLIO80,4.5766768183,67.9458285044,3.017540532
PaLIO80,4.6447654207,68.6120251496,3.0476256819
PaLIO80,4.6240408761,68.7491121129,4.3988035254
PaLIO80,4.5667936989,67.9668301333,4.1311566808
PaLIO80,4.6297929382,68.6519517697,4.0272196511
