MUESTRA,HUMEDAD,AZUCARES,ETEREO,FIBRA,PROTEINA,CENIZA
PaSAC50,8.1718281718,10.8446014297,1.8754034861,22.0010891628,16.03,6.8797868798
PaSAC50,8.0473175608,12.7825853575,1.8724995081,21.3743507791,16.156,7.0109963346
PaSAC50,7.9832072768,13.015446546,1.8779342723,22.0010891628,16.056,6.9403258588
PaSAC50,8.0718281718,11.9475146148,1.8764034861,21.7435077907,16.03,6.9797868798
PaSAC50,8.0973175608,11.9339194925,1.8734995081,21.9010891628,16.086,7.0009963346
PaSAC50,7.9832072768,13.6624242825,1.8769342723,21.8435077907,16.076,6.9903258588
PaSAC50,8.1218281718,14.8876676991,1.8754034861,21.7010891628,16.04,6.9097868798
PaSAC50,8.1473175608,11.8509956921,1.8754995081,21.9910891628,16.126,6.9963345552
PaSAC50,8.0832072768,11.1670064881,1.8779342723,21.5743507791,16.096,6.9832585879
PaSAC80,7.3347107438,14.5902708722,1.9764031462,20.3508334165,14.675,5.9817382031
PaSAC80,7.2366229093,13.7486344294,1.9425843665,19.2711221945,14.634,6.3137202639
PaSAC80,7.1911759805,12.5920101156,1.9591995086,20.0508334165,14.753,6.2881135659
PaSAC80,7.3047107438,15.2361093046,1.9640314625,19.9711221945,14.675,6.0817382031
PaSAC80,7.2866229093,11.5860715419,1.9525843665,19.9350833417,14.634,6.2372026388
PaSAC80,7.2591175981,13.1680532803,1.9591995086,19.7711221945,14.753,6.1881135659
PaSAC80,7.3147107438,14.9289449355,1.9664031462,20.1508334165,14.685,6.0817382031
PaSAC80,7.2066229093,15.1026767681,1.9525843665,20.3008334165,14.614,6.2137202639
PaSAC80,7.2911759805,13.6877095266,1.9591995086,19.9911221945,14.753,6.1881135659
PaLIO50,7.1021875936,12.7911782966,1.3687252915,19.9058588881,16.468,5.7536709619
PaLIO50,7.1968942863,15.9653942748,1.3032781435,20.171591136,16.1755,5.773442166
PaLIO50,7.1070757671,16.4845752254,1.3385146805,19.9585888806,16.1805,5.5729492799
PaLIO50,7.1321875936,18.4473669743,1.3487252915,20.101591136,16.468,5.7536709619
PaLIO50,7.1568942863,14.0023466567,1.3327814349,19.9958588881,16.1755,5.673442166
PaLIO50,7.1670757671,15.7318462269,1.3285146805,19.971591136,16.1805,5.6729492799
PaLIO50,7.1021875936,15.0441833806,1.3487252915,19.9058588881,16.468,5.7536709619
PaLIO50,7.1868942863,15.6598523555,1.3132781435,19.9458588881,16.1755,5.773442166
PaLIO50,7.1270757671,15.1888941623,1.3285146805,20.131591136,16.1805,5.6829492799
PaLIO80,6.0019328823,15.4742276943,1.4275304716,17.7352045148,14.054,5.7953144266
PaLIO80,6.1419578323,17.670508679,1.4087939943,16.972875768,13.935,5.8954801319
PaLIO80,6.0640389165,17.1936561315,1.4203429768,16.9452045148,13.997,5.6642121747
PaLIO80,6.0193288233,14.2790452923,1.4275304716,16.912875768,13.954,5.7531442663
PaLIO80,6.0419578323,17.2845862172,1.4087939943,17.0352045148,13.995,5.8954801319
PaLIO80,6.0840389165,17.5495302153,1.4203429768,16.992875768,14.027,5.7642121747
PaLIO80,6.0319328823,18.6371328603,1.4275304716,17.3520451481,13.954,5.7053144266
PaLIO80,6.1019578323,17.3015837342,1.4087939943,17.4352045148,13.995,5.7954801319
PaLIO80,6.0840389165,18.7973537431,1.4203429768,16.992875768,13.967,5.7142121747
