MUESTRA,ABTS,DPPH,FENOLICOS
PiSAC50,3.4062343059,36.3642332282,5.2943579884
PiSAC50,3.6145084813,36.3027293029,6.3703829265
PiSAC50,3.5377501914,36.5129135231,6.2843449182
PiSAC50,3.4417504273,36.3616024044,5.1924386618
PiSAC50,3.6145084813,36.3290168176,5.7329817869
PiSAC50,3.5120185188,36.5214907473,3.3958339449
PiSAC50,3.445696663,36.3609446985,5.1637511554
PiSAC50,3.5041009192,36.3369030721,6.6502588728
PiSAC50,3.4823281273,36.5023569395,5.2376421862
PiSAC60,3.516024547,36.6101703454,5.974286003
PiSAC60,3.3771378225,36.1775671378,6.5436461196
PiSAC60,3.4589753626,36.7654412046,6.0309333585
PiSAC60,3.4862162898,36.6008966653,5.8362847021
PiSAC60,3.418410614,36.2129438163,5.3435014165
PiSAC60,3.5068968624,36.7720969685,5.4868203092
PiSAC60,3.4246125581,36.5770500595,4.4783372714
PiSAC60,3.3928607907,36.1552929329,5.7435496508
PiSAC60,3.4589753626,36.7734281213,4.7029888365
PiSAC80,3.5499179992,36.8462492806,4.6938539183
PiSAC80,3.5333237241,36.8096095562,6.7202373622
PiSAC80,3.3830996546,36.7115295174,6.4236452981
PiSAC80,3.5199072078,36.8462492806,3.6651901186
PiSAC80,3.3131565909,36.7996019592,5.7327869434
PiSAC80,3.351151988,36.7042081771,5.5158511045
PiSAC80,3.4578849057,36.8142377698,3.8979006024
PiSAC80,3.3631945758,36.7789195922,7.4497129823
PiSAC80,3.3471585297,36.7255066215,6.7061137113
PiLIO50,3.6361379226,36.7481517558,5.0792303815
PiLIO50,3.4671177452,36.7568457268,4.5777669933
PiLIO50,3.6910193426,36.7928299121,5.3254136025
PiLIO50,3.6421305004,36.7667953312,3.1365770186
PiLIO50,3.5470826014,36.7375208866,4.5632955248
PiLIO50,3.4911072021,36.8961178514,5.2503853667
PiLIO50,3.6720933895,36.7461542298,4.0659331723
PiLIO50,3.5290905088,36.7655085863,3.197213425
PiLIO50,3.5410852372,36.7808351837,4.4671787098
PiLIO60,3.7644911043,36.7761973232,3.3433859678
PiLIO60,3.508501332,36.7201995605,5.6753274411
PiLIO60,3.5422542035,36.7348349162,5.5562851688
PiLIO60,3.7424919832,36.8195289253,3.0531048332
PiLIO60,3.530500453,36.7121998801,5.6991290219
PiLIO60,3.5302690479,36.7335032322,4.41444173
PiLIO60,3.6404960583,36.8681936476,3.1403363998
PiLIO60,3.5005016516,36.7368655613,4.4488098997
PiLIO60,3.5562368851,36.7474859138,4.3563569703
PiLIO80,3.6064974167,36.7941966041,4.3829261426
PiLIO80,3.6564954191,36.7895301239,3.568151411
PiLIO80,3.5881973001,36.7781146449,4.293493085
PiLIO80,3.6144970971,36.7681976428,3.2566451554
PiLIO80,3.696493821,36.7555314822,2.9658732665
PiLIO80,3.5802071963,36.7335032322,3.0494498792
PiLIO80,3.5664990148,36.7648644427,3.6346486109
PiLIO80,3.6724947798,36.8015296444,2.2098663554
PiLIO80,3.558234411,36.7887681165,3.3108312975
