MUESTRA,HUMEDAD,FRUCTOSA,GLUCOSA,SACAROSA,ETEREO,FDT,FDI,FDS,PROTEINA,CENIZA
PiSAC50,4.2389647456,3.149971816,5.7601687799,10.7644953979,0.6423185528,43.2304465088,1.6400958945,44.8705424034,6.1321,3.2076022443
PiSAC50,4.3233082707,2.4813895782,5.8168388251,9.5779046803,0.625526674,44.5707208323,1.0781273223,45.6488481546,6.1028,3.2350613376
PiSAC50,4.328086164,2.6247463927,5.9126908055,9.7749826152,0.7068971108,,,,6.1331,3.2377796189
PiSAC50,4.2896474556,3.149971816,5.7833019878,10.578957628,0.6923185528,,,,6.1321,3.2176022443
PiSAC50,4.3330827068,2.4813895782,5.9091696001,10.0932611489,0.685526674,,,,6.1028,3.2250613376
PiSAC50,4.2808616404,2.6247463927,6.1667517386,10.0478977919,0.6897110801,,,,6.1331,3.2377796189
PiSAC50,4.2389647456,2.5815558492,5.3437710368,10.1658646289,0.6423185528,,,,6.1321,3.2176022443
PiSAC50,4.2630827068,2.7177123951,5.4475157251,10.5549150239,0.635526674,,,,6.1028,3.2250613376
PiSAC50,4.2508616404,2.7429782122,5.4507618364,11.1692539324,0.6306897111,,,,6.1331,3.2177796189
PiSAC60,4.2068506817,2.950520944,5.8329740559,11.1215622941,0.7583319843,41.729454618,2.0238511052,43.7533057233,6.1155,3.3288992351
PiSAC60,4.1629260183,2.6768243861,6.0158308904,10.9588228653,0.5772453603,42.7205735909,2.2132045409,44.9337781318,6.0755,3.208645054
PiSAC60,4.1888211646,2.8592222915,5.4931358882,11.9255028655,0.616223861,,,,6.1129,3.3329010504
PiSAC60,4.1685068174,2.8561042738,5.8560292894,11.3008284969,0.6583319843,,,,6.1055,3.3288992351
PiSAC60,4.1729260183,3.1742873251,5.946417457,11.1500639572,0.6772453603,,,,6.0955,3.2864505403
PiSAC60,4.1888211646,3.2136713359,5.6777791113,11.9839104156,0.616223861,,,,6.0929,3.2329010504
PiSAC60,4.2068506817,2.842079834,6.2228329389,10.8296460652,0.5583319843,,,,6.0955,3.3088992351
PiSAC60,4.1929260183,2.9374002113,5.9695552681,11.1675353656,0.6772453603,,,,6.0855,3.228645054
PiSAC60,4.1988211646,2.9537420367,6.2086283778,10.6023834426,0.616223861,,,,6.1029,3.3290105045
PiSAC80,4.4823066841,3.4056631313,6.0236218648,12.0302225062,0.8751284516,35.4775847645,3.543723242,39.0213080065,6.884,3.6631716907
PiSAC80,4.412991848,3.2983675403,5.8998968679,12.2823660492,0.6200749257,35.7879599326,3.1835763166,38.9715362491,6.8842,3.6876564606
PiSAC80,4.4193387606,3.5028707302,6.472191614,11.4829206055,0.7763043913,,,,6.9154,3.6683834524
PiSAC80,4.4823066841,3.4751664605,6.1857962996,11.786724448,0.8751284516,,,,6.894,3.6731716907
PiSAC80,4.42991848,2.5550734467,6.4341394977,11.7481234194,0.7200749257,,,,6.8842,3.6776564606
PiSAC80,4.4193387606,3.2708925361,6.3330046976,11.9071093032,0.7563043913,,,,6.905,3.6683834524
PiSAC80,4.4523066841,3.22032092,6.1857962996,11.9493716946,0.7951284516,,,,6.898,3.6631716907
PiSAC80,4.462991848,2.8802646127,6.5502791998,10.7351007931,0.7200749257,,,,6.888,3.6776564606
PiSAC80,4.4793387606,3.4332772719,6.1242243229,12.2787478385,0.7763043913,,,,6.8954,3.6683834524
