MUESTRA,ACIDEZ,PH,AW,SOLUBILIDAD,CRA,CRAC,L,C,H,AE,HUMEDAD,FRUCTUOSA,GLUCOSA,SACAROSA,EXTRACTO ETEREO,FDT,FDI,FDS,PROTEINA,CENIZA
PiSAC50,0.3554144652,4,0.362,39.736158305,7.4552715655,1.6677190213,58.0285,30.5201,78.2319,12.80778393,4.2389647456,3.149971816,5.7601687799,10.7644953979,0.6423185528,43.2304465088,1.6400958945,44.8705424034,6.1321,3.2076022443
PiSAC50,0.3554144652,4,0.346,36.5000987557,7.3104406511,1.6644162033,55.9453,31.0333,78.0771,12.9171816135,4.3233082707,2.4813895782,5.8168388251,9.5779046803,0.625526674,44.5707208323,1.0781273223,45.6488481546,6.1028,3.2350613376
PiSAC50,0.369221217,4,0.348,36.3708399366,7.0217729393,1.1860189573,55.6202,29.0558,78.1177,12.9428374279,4.328086164,2.6247463927,5.9126908055,9.7749826152,0.7068971108,43.2304465088,1.6400958945,44.8705424034,6.1331,3.2377796189
PiSAC50,0.3554144652,4,0.359,38.736158305,7.2552715655,1.6677190213,55.681,29.4136,77.6828,13.0309024436,4.2896474556,3.149971816,5.7833019878,10.578957628,0.6923185528,44.5707208323,1.0781273223,45.6488481546,6.1321,3.2176022443
PiSAC50,0.3554144652,4,0.346,37.5000987557,7.1104406511,1.6644162033,57.6439,28.7736,78.0781,12.9445020587,4.3330827068,2.4813895782,5.9091696001,10.0932611489,0.685526674,43.2304465088,1.6400958945,44.8705424034,6.1028,3.2250613376
PiSAC50,0.369221217,4,0.346,36.3708399366,7.0217729393,1.4860189573,57.7933,30.2135,78.7835,12.8616245463,4.2808616404,2.6247463927,6.1667517386,10.0478977919,0.6897110801,44.5707208323,1.0781273223,45.6488481546,6.1331,3.2377796189
PiSAC50,0.3554144652,4,0.356,36.3708399366,7.4552715655,1.6677190213,57.3791,30.4501,78.4581,12.8720627621,4.2389647456,2.5815558492,5.3437710368,10.1658646289,0.6423185528,43.2304465088,1.6400958945,44.8705424034,6.1321,3.2176022443
PiSAC50,0.3554144652,4,0.345,38.736158305,7.2104406511,1.5644162033,57.6861,30.2406,78.2814,12.8992305522,4.2630827068,2.7177123951,5.4475157251,10.5549150239,0.635526674,44.5707208323,1.0781273223,45.6488481546,6.1028,3.2250613376
PiSAC50,0.369221217,4,0.345,37.5000987557,7.1217729393,1.3860189573,59.1673,30.1637,78.7629,12.8495064949,4.2508616404,2.7429782122,5.4507618364,11.1692539324,0.6306897111,44.5707208323,1.0781273223,45.6488481546,6.1331,3.2177796189
PiSAC60,0.3839669568,4,0.329,50.3474290252,8.0231075697,1.5206841687,58.8557,30.0137,79.4038,12.6356595348,4.2068506817,2.950520944,5.8329740559,11.1215622941,0.7583319843,41.729454618,2.0238511052,43.7533057233,6.1155,3.3288992351
PiSAC60,0.3981702714,4,0.326,53.3543804262,9.0489649682,1.8365882822,59.3373,30.0058,79.2869,12.6752655652,4.1629260183,2.6768243861,6.0158308904,10.9588228653,0.5772453603,42.7205735909,2.2132045409,44.9337781318,6.0755,3.208645054
PiSAC60,0.3839669568,4,0.327,49.601910828,8.3543495611,1.7348,59.2381,30.0434,79.5328,12.6176663212,4.1888211646,2.8592222915,5.4931358882,11.9255028655,0.616223861,41.729454618,2.0238511052,43.7533057233,6.1129,3.3329010504
PiSAC60,0.3839669568,4,0.327,51.4742902521,8.0231075697,1.6206841687,58.8622,30.0042,79.4848,12.6252913099,4.1685068174,2.8561042738,5.8560292894,11.3008284969,0.6583319843,42.7205735909,2.2132045409,44.9337781318,6.1055,3.3288992351
PiSAC60,0.3981702714,4,0.325,52.543804262,9.0489649682,1.8365882822,59.2013,30.0063,79.2802,12.6744569497,4.1729260183,3.1742873251,5.946417457,11.1500639572,0.6772453603,41.729454618,2.0238511052,43.7533057233,6.0955,3.2864505403
PiSAC60,0.3839669568,4,0.326,50.601910828,8.3543495611,1.5348,59.2253,29.9583,79.4109,12.6237981602,4.1888211646,3.2136713359,5.6777791113,11.9839104156,0.616223861,42.7205735909,2.2132045409,44.9337781318,6.0929,3.2329010504
PiSAC60,0.3839669568,4,0.327,50.3474290252,8.0231075697,1.5206841687,59.2519,29.7064,80.3428,12.5888301412,4.2068506817,2.842079834,6.2228329389,10.8296460652,0.5583319843,41.729454618,2.0238511052,43.7533057233,6.0955,3.3088992351
PiSAC60,0.3981702714,4,0.325,52.3804262041,9.0489649682,1.6365882822,59.0261,29.7242,80.4124,12.5878546546,4.1929260183,2.9374002113,5.9695552681,11.1675353656,0.6772453603,42.7205735909,2.2132045409,44.9337781318,6.0855,3.228645054
PiSAC60,0.3839669568,4,0.326,49.601910828,8.3543495611,1.7348,66.6489,29.3625,80.241,12.5691481072,4.1988211646,2.9537420367,6.2086283778,10.6023834426,0.616223861,42.7205735909,2.2132045409,44.9337781318,6.1029,3.3290105045
