Muestra,ABTS,DPPH,Polienoles
PaSAC50,4.491776452,68.9784495,2.914053673
PaSAC50,4.556754385,68.89222878,1.966108503
PaSAC50,4.50951828,68.86784304,2.73714175
PaSAC50,4.759185639,68.97969908,1.19907475
PaSAC50,4.509270511,68.89972624,1.489759538
PaSAC50,4.437079059,68.89531999,1.452698678
PaSAC50,4.714200916,68.97470077,1.19907475
PaSAC50,4.296842653,68.9734512,1.126403553
PaSAC50,4.504522472,68.9028137,1.416381211
PaSAC80,4.600050241,68.84471502,2.522815715
PaSAC80,4.510013078,68.80417201,3.120035113
PaSAC80,4.516523693,68.97789868,2.002217192
PaSAC80,4.497789255,68.81977332,1.813159038
PaSAC80,4.529976388,68.83286927,1.850344164
PaSAC80,4.59903688,69.00165247,0.58165997
PaSAC80,4.53270764,68.83099709,1.232948146
PaSAC80,4.482563526,68.87404359,1.16100026
PaSAC80,4.521524492,69.01915527,1.999456148
PaLIO50,4.733786717,68.90045693,3.023909986
PaLIO50,4.675697731,68.33526553,5.207852743
PaLIO50,4.665068443,68.60974908,5.323291924
PaLIO50,4.698746117,68.85790763,1.564774381
PaLIO50,4.72048123,68.5081796,3.617306351
PaLIO50,4.590280595,68.59728444,3.225815805
PaLIO50,4.463473517,68.92173158,1.9286754
PaLIO50,4.64086612,68.44846827,2.821498954
PaLIO50,5.096345037,68.60974908,2.935854834
PaLIO80,4.66154687,68.79036871,3.688294828
PaLIO80,4.591501498,67.92853305,5.866075755
PaLIO80,4.664728731,68.70809858,5.328599294
PaLIO80,4.66154687,68.8278747,3.199129837
PaLIO80,4.576676818,67.9458285,3.017540532
PaLIO80,4.644765421,68.61202515,3.047625682
PaLIO80,4.624040876,68.74911211,4.398803525
PaLIO80,4.566793699,67.96683013,4.131156681
PaLIO80,4.629792938,68.65195177,4.027219651
