Muestra,Humedad %,Azucares %,Extracto etereo %,Fibra %,Proteína %,Ceniza %
PaSAC50,8.171828172,10.84460143,1.875403486,22.00108916,16.03,6.87978688
PaSAC50,8.047317561,12.78258536,1.872499508,21.37435078,16.156,7.010996335
PaSAC50,7.983207277,13.01544655,1.877934272,22.00108916,16.056,6.940325859
PaSAC50,8.071828172,11.94751461,1.876403486,21.74350779,16.03,6.97978688
PaSAC50,8.097317561,11.93391949,1.873499508,21.90108916,16.086,7.000996335
PaSAC50,7.983207277,13.66242428,1.876934272,21.84350779,16.076,6.990325859
PaSAC50,8.121828172,14.8876677,1.875403486,21.70108916,16.04,6.90978688
PaSAC50,8.147317561,11.85099569,1.875499508,21.99108916,16.126,6.996334555
PaSAC50,8.083207277,11.16700649,1.877934272,21.57435078,16.096,6.983258588
PaSAC80,7.334710744,14.59027087,1.976403146,20.35083342,14.675,5.981738203
PaSAC80,7.236622909,13.74863443,1.942584367,19.27112219,14.634,6.313720264
PaSAC80,7.191175981,12.59201012,1.959199509,20.05083342,14.753,6.288113566
PaSAC80,7.304710744,15.2361093,1.964031462,19.97112219,14.675,6.081738203
PaSAC80,7.286622909,11.58607154,1.952584367,19.93508334,14.634,6.237202639
PaSAC80,7.259117598,13.16805328,1.959199509,19.77112219,14.753,6.188113566
PaSAC80,7.314710744,14.92894494,1.966403146,20.15083342,14.685,6.081738203
PaSAC80,7.206622909,15.10267677,1.952584367,20.30083342,14.614,6.213720264
PaSAC80,7.291175981,13.68770953,1.959199509,19.99112219,14.753,6.188113566
PaLIO50,7.102187594,12.7911783,1.368725292,19.90585889,16.468,5.753670962
PaLIO50,7.196894286,15.96539427,1.303278143,20.17159114,16.1755,5.773442166
PaLIO50,7.107075767,16.48457523,1.33851468,19.95858888,16.1805,5.57294928
PaLIO50,7.132187594,18.44736697,1.348725292,20.10159114,16.468,5.753670962
PaLIO50,7.156894286,14.00234666,1.332781435,19.99585889,16.1755,5.673442166
PaLIO50,7.167075767,15.73184623,1.32851468,19.97159114,16.1805,5.67294928
PaLIO50,7.102187594,15.04418338,1.348725292,19.90585889,16.468,5.753670962
PaLIO50,7.186894286,15.65985236,1.313278143,19.94585889,16.1755,5.773442166
PaLIO50,7.127075767,15.18889416,1.32851468,20.13159114,16.1805,5.68294928
PaLIO80,6.001932882,15.47422769,1.427530472,17.73520451,14.054,5.795314427
PaLIO80,6.141957832,17.67050868,1.408793994,16.97287577,13.935,5.895480132
PaLIO80,6.064038916,17.19365613,1.420342977,16.94520451,13.997,5.664212175
PaLIO80,6.019328823,14.27904529,1.427530472,16.91287577,13.954,5.753144266
PaLIO80,6.041957832,17.28458622,1.408793994,17.03520451,13.995,5.895480132
PaLIO80,6.084038916,17.54953022,1.420342977,16.99287577,14.027,5.764212175
PaLIO80,6.031932882,18.63713286,1.427530472,17.35204515,13.954,5.705314427
PaLIO80,6.101957832,17.30158373,1.408793994,17.43520451,13.995,5.795480132
PaLIO80,6.084038916,18.79735374,1.420342977,16.99287577,13.967,5.714212175
