Muestra,acidez %,pH,solidos %,aw,Solubilidad %,CRA,CRAC,AE
PaSAC50,0.298747112,4.4,1.2,0.315,49.08073541,10.96579157,1.727984344,14.1249676
PaSAC50,0.298747112,4.4,1.1,0.323,44.50648056,10.8708,1.759222531,14.12478364
PaSAC50,0.312966213,4.4,1.1,0.323,46.98867024,10.28895974,1.720699245,14.15267249
PaSAC50,0.298747112,4.4,1.2,0.315,48.08073541,10.96579157,1.727984344,14.12611248
PaSAC50,0.298747112,4.4,1.1,0.321,46.50648056,10.8708,1.759222531,14.16556167
PaSAC50,0.312966213,4.4,1.1,0.323,47.98867024,10.28895974,1.720699245,14.15856966
PaSAC50,0.298747112,4.4,1.1,0.311,45.08073541,10.96579157,1.727984344,14.16208887
PaSAC50,0.298747112,4.4,1.1,0.317,46.50648056,10.8708,1.759222531,14.157204
PaSAC50,0.312966213,4.4,1.1,0.318,47.98867024,10.28895974,1.720699245,14.15302255
PaSAC80,0.327068437,4.1,1.4,0.381,57.04,12.86039091,1.713776722,14.76137999
PaSAC80,0.327068437,4.1,1.4,0.38,61.48969889,11.46435683,1.980055844,14.76055358
PaSAC80,0.327068437,4.1,1.4,0.378,59.36,12.7028754,1.848726115,14.76586077
PaSAC80,0.327068437,4.1,1.4,0.381,60.04,12.86039091,1.713776722,14.75623381
PaSAC80,0.327068437,4.1,1.4,0.38,58.48969889,12.46435683,1.980055844,14.77987975
PaSAC80,0.327068437,4.1,1.4,0.378,59.36,12.7028754,1.848726115,14.7743855
PaSAC80,0.327068437,4.1,1.4,0.376,57.04,12.86039091,1.713776722,14.7117337
PaSAC80,0.327068437,4.1,1.4,0.376,60.48969889,12.46435683,1.980055844,14.79628027
PaSAC80,0.327068437,4.1,1.4,0.374,59.36,12.7028754,1.848726115,14.84197449
PaLIO50,0.341448026,5.6,1.7,0.294,57.8112609,13.6444,2.948809524,14.2752239
PaLIO50,0.355627624,5.6,1.6,0.299,58.46830634,13.8461231,3.003941663,14.2752239
PaLIO50,0.341448026,5.6,1.6,0.309,61.19873817,12.96414343,3.477935382,14.2885883
PaLIO50,0.341448026,5.6,1.7,0.294,58.8112609,13.6444,3.048809524,14.27746605
PaLIO50,0.355627624,5.6,1.6,0.299,58.46830634,13.8461231,3.003941663,14.21430091
PaLIO50,0.341448026,5.6,1.6,0.309,60.19873817,13.06414343,3.077935382,14.31477306
PaLIO50,0.341448026,5.6,1.7,0.293,60.8112609,13.6444,3.048809524,14.31695983
PaLIO50,0.355627624,5.6,1.7,0.297,59.46830634,13.8461231,3.003941663,14.19676555
PaLIO50,0.341448026,5.6,1.6,0.308,58.19873817,12.96414343,3.177935382,14.19148879
PaLIO80,0.32719195,5.3,1.9,0.314,65.84493042,14.52751196,3.529411765,14.77327237
PaLIO80,0.312959261,5.3,1.9,0.327,63.03792494,14.28964143,3.595125786,14.75075298
PaLIO80,0.267720886,5.3,1.9,0.328,63.66892161,14.45313123,3.778,14.72265197
PaLIO80,0.32719195,5.3,1.9,0.31,64.84493042,14.52751196,3.529411765,14.61529617
PaLIO80,0.312959261,5.3,1.9,0.323,63.03792494,14.28964143,3.695125786,14.65171861
PaLIO80,0.267720886,5.3,1.9,0.328,64.66892161,14.45313123,3.778,14.62892345
PaLIO80,0.32719195,5.3,1.9,0.31,64.84493042,14.52751196,3.629411765,14.63644239
PaLIO80,0.312959261,5.3,1.9,0.324,63.03792494,14.28964143,3.595125786,14.60105848
PaLIO80,0.267720886,5.3,1.9,0.328,65.66892161,14.45313123,3.778,14.61772495
