MUESTRA,ABTS,DPPH,FENOLICOS
PiSAC50,3.406234306,36.36423323,5.294357988
PiSAC50,3.614508481,36.3027293,6.370382926
PiSAC50,3.537750191,36.51291352,6.284344918
PiSAC50,3.441750427,36.3616024,5.192438662
PiSAC50,3.614508481,36.32901682,5.732981787
PiSAC50,3.512018519,36.52149075,3.395833945
PiSAC50,3.445696663,36.3609447,5.163751155
PiSAC50,3.504100919,36.33690307,6.650258873
PiSAC50,3.482328127,36.50235694,5.237642186
PiSAC60,3.516024547,36.61017035,5.974286003
PiSAC60,3.377137823,36.17756714,6.54364612
PiSAC60,3.458975363,36.7654412,6.030933358
PiSAC60,3.48621629,36.60089667,5.836284702
PiSAC60,3.418410614,36.21294382,5.343501416
PiSAC60,3.506896862,36.77209697,5.486820309
PiSAC60,3.424612558,36.57705006,4.478337271
PiSAC60,3.392860791,36.15529293,5.743549651
PiSAC60,3.458975363,36.77342812,4.702988836
PiSAC80,3.549917999,36.84624928,4.693853918
PiSAC80,3.533323724,36.80960956,6.720237362
PiSAC80,3.383099655,36.71152952,6.423645298
PiSAC80,3.519907208,36.84624928,3.665190119
PiSAC80,3.313156591,36.79960196,5.732786943
PiSAC80,3.351151988,36.70420818,5.515851105
PiSAC80,3.457884906,36.81423777,3.897900602
PiSAC80,3.363194576,36.77891959,7.449712982
PiSAC80,3.34715853,36.72550662,6.706113711
PiLIO50,3.636137923,36.74815176,5.079230382
PiLIO50,3.467117745,36.75684573,4.577766993
PiLIO50,3.691019343,36.79282991,5.325413602
PiLIO50,3.6421305,36.76679533,3.136577019
PiLIO50,3.547082601,36.73752089,4.563295525
PiLIO50,3.491107202,36.89611785,5.250385367
PiLIO50,3.672093389,36.74615423,4.065933172
PiLIO50,3.529090509,36.76550859,3.197213425
PiLIO50,3.541085237,36.78083518,4.46717871
PiLIO60,3.764491104,36.77619732,3.343385968
PiLIO60,3.508501332,36.72019956,5.675327441
PiLIO60,3.542254203,36.73483492,5.556285169
PiLIO60,3.742491983,36.81952893,3.053104833
PiLIO60,3.530500453,36.71219988,5.699129022
PiLIO60,3.530269048,36.73350323,4.41444173
PiLIO60,3.640496058,36.86819365,3.1403364
PiLIO60,3.500501652,36.73686556,4.4488099
PiLIO60,3.556236885,36.74748591,4.35635697
PiLIO80,3.606497417,36.7941966,4.382926143
PiLIO80,3.656495419,36.78953012,3.568151411
PiLIO80,3.5881973,36.77811464,4.293493085
PiLIO80,3.614497097,36.76819764,3.256645155
PiLIO80,3.696493821,36.75553148,2.965873266
PiLIO80,3.580207196,36.73350323,3.049449879
PiLIO80,3.566499015,36.76486444,3.634648611
PiLIO80,3.67249478,36.80152964,2.209866355
PiLIO80,3.558234411,36.78876812,3.310831297
