Muestra,Humedad % ,Azucares %,Extracto etereo %,Fibra %,Proteína %,Ceniza %
PiSAC50,4.238964746,10.7644954,0.642318553,44.8705424,6.1321,3.207602244
PiSAC50,4.323308271,9.57790468,0.625526674,45.64884815,6.1028,3.235061338
PiSAC50,4.328086164,9.774982615,0.706897111,44.8705424,6.1331,3.237779619
PiSAC50,4.289647456,10.57895763,0.692318553,45.64884815,6.1321,3.217602244
PiSAC50,4.333082707,10.09326115,0.685526674,44.8705424,6.1028,3.225061338
PiSAC50,4.28086164,10.04789779,0.68971108,45.64884815,6.1331,3.237779619
PiSAC50,4.238964746,10.16586463,0.642318553,44.8705424,6.1321,3.217602244
PiSAC50,4.263082707,10.55491502,0.635526674,44.8705424,6.1028,3.225061338
PiSAC50,4.25086164,11.16925393,0.630689711,45.64884815,6.1331,3.217779619
PiSAC60,4.206850682,11.12156229,0.758331984,43.75330572,6.1155,3.328899235
PiSAC60,4.162926018,10.95882287,0.57724536,44.93377813,6.0755,3.208645054
PiSAC60,4.188821165,11.92550287,0.616223861,43.95330572,6.1129,3.33290105
PiSAC60,4.168506817,11.3008285,0.658331984,44.53377813,6.1055,3.328899235
PiSAC60,4.172926018,11.15006396,0.67724536,43.95330572,6.0955,3.28645054
PiSAC60,4.188821165,11.98391042,0.616223861,44.33377813,6.0929,3.23290105
PiSAC60,4.206850682,10.82964607,0.558331984,43.45330572,6.0955,3.308899235
PiSAC60,4.192926018,11.16753537,0.67724536,43.7330572,6.0855,3.228645054
PiSAC60,4.198821165,10.60238344,0.616223861,44.9377813,6.1029,3.329010504
PiSAC80,4.482306684,12.03022251,0.875128452,39.02130801,6.884,3.663171691
PiSAC80,4.412991848,12.28236605,0.620074926,38.97153625,6.8842,3.687656461
PiSAC80,4.419338761,11.48292061,0.776304391,39.92130801,6.9154,3.668383452
PiSAC80,4.482306684,11.78672445,0.875128452,38.97153625,6.894,3.673171691
PiSAC80,4.42991848,11.74812342,0.720074926,38.99130801,6.8842,3.677656461
PiSAC80,4.419338761,11.9071093,0.756304391,38.97153625,6.905,3.668383452
PiSAC80,4.452306684,11.94937169,0.795128452,39.00130801,6.898,3.663171691
PiSAC80,4.462991848,10.73510079,0.720074926,38.92130801,6.888,3.677656461
PiSAC80,4.479338761,12.27874784,0.776304391,38.90153625,6.8954,3.668383452
PiLIO50,5.339773484,12.07459034,0.629559308,46.0019977,6.3335,3.037974684
PiLIO50,5.557956321,11.12868484,0.714651968,45.34434311,6.2986,2.928564305
PiLIO50,5.432213827,11.38466367,0.553786974,45.9019977,6.3505,3.052291715
PiLIO50,5.397734843,12.27643792,0.629559308,45.74434311,6.3035,3.037974684
PiLIO50,5.557956321,12.01314233,0.614651968,46.0019977,6.32986,2.928564305
PiLIO50,5.402213827,11.70132445,0.553786974,45.84434311,6.2955,3.052291715
PiLIO50,5.359773484,10.44761085,0.629559308,46.0019977,6.3035,3.037974684
PiLIO50,5.457956321,11.0159069,0.614651968,45.8019977,6.3586,2.928564305
PiLIO50,5.532213827,10.01177522,0.553786974,45.74434311,6.3505,3.052291715
PiLIO60,5.335994677,13.62257915,0.644732469,42.92844695,7.0847,2.811044578
PiLIO60,4.838229948,14.90182308,0.641640483,42.1533721,7.0173,3.142866585
PiLIO60,4.879672469,14.75806044,0.657573489,42.82844695,7.1645,3.175448524
PiLIO60,5.335994677,13.67279102,0.644732469,42.4533721,7.0847,2.911044578
PiLIO60,4.838229948,12.16640907,0.651640483,42.62844695,7.0573,3.042866585
PiLIO60,4.879672469,12.06843866,0.657573489,42.7533721,7.0645,3.075448524
PiLIO60,5.335994677,14.08014484,0.642732469,42.52844695,7.0747,2.811044578
PiLIO60,4.838229948,15.05223839,0.641640483,42.32844695,7.0273,3.128665851
PiLIO60,4.879672469,15.140429,0.654573489,42.6533721,7.1245,3.145448524
PiLIO80,4.922841049,13.72447276,0.645332979,41.37249626,7.547,3.069693031
PiLIO80,4.871905346,14.81807253,0.48046655,41.84963077,7.8252,3.33079243
PiLIO80,4.847737722,14.08787775,0.988489734,41.7249626,7.887,3.278470047
PiLIO80,4.902841049,18.1966355,0.645332979,41.4963077,7.747,3.239693031
PiLIO80,4.891905346,19.44667732,0.48046655,41.33249626,7.8252,3.23079243
PiLIO80,4.887737722,17.4544906,0.988489734,41.81963077,7.887,3.278470047
PiLIO80,4.922841049,17.69562838,0.645332979,41.54249626,7.647,3.169693031
PiLIO80,4.901905346,17.11271602,0.48046655,41.67249626,7.7252,3.29079243
PiLIO80,4.847737722,19.85053985,0.988489734,41.54963077,7.887,3.208470047
