Muestra ,acidez % ,pH,Bx,aw,Solubilidad % ,CRA,CRAC,AE
PiSAC50,0.355414465,4,1.3,0.362,39.73615831,7.455271565,1.667719021,12.80778393
PiSAC50,0.355414465,4,1.4,0.346,36.50009876,7.310440651,1.664416203,12.91718161
PiSAC50,0.369221217,4,1.4,0.348,36.37083994,7.021772939,1.186018957,12.94283743
PiSAC50,0.355414465,4,1.4,0.359,38.73615831,7.255271565,1.667719021,13.03090244
PiSAC50,0.355414465,4,1.3,0.346,37.50009876,7.110440651,1.664416203,12.94450206
PiSAC50,0.369221217,4,1.4,0.346,36.37083994,7.021772939,1.486018957,12.86162455
PiSAC50,0.355414465,4,1.4,0.356,36.37083994,7.455271565,1.667719021,12.87206276
PiSAC50,0.355414465,4,1.3,0.345,38.73615831,7.210440651,1.564416203,12.89923055
PiSAC50,0.369221217,4,1.4,0.345,37.50009876,7.121772939,1.386018957,12.84950649
PiSAC60,0.383966957,4,1.4,0.329,50.34742903,8.02310757,1.520684169,12.63565953
PiSAC60,0.398170271,4,1.3,0.326,53.35438043,9.048964968,1.836588282,12.67526557
PiSAC60,0.383966957,4,1.4,0.327,49.60191083,8.354349561,1.7348,12.61766632
PiSAC60,0.383966957,4,1.4,0.327,51.47429025,8.02310757,1.620684169,12.62529131
PiSAC60,0.398170271,4,1.4,0.325,52.54380426,9.048964968,1.836588282,12.67445695
PiSAC60,0.383966957,4,1.3,0.326,50.60191083,8.354349561,1.5348,12.62379816
PiSAC60,0.383966957,4,1.4,0.327,50.34742903,8.02310757,1.520684169,12.58883014
PiSAC60,0.398170271,4,1.4,0.325,52.3804262,9.048964968,1.636588282,12.58785465
PiSAC60,0.383966957,4,1.3,0.326,49.60191083,8.354349561,1.7348,12.56914811
PiSAC80,0.369713118,4,1.5,0.318,60.68528421,11.22049442,2.623860484,11.97070895
PiSAC80,0.355501277,4,1.6,0.32,59.09636146,11.62768496,1.724730324,11.98139356
PiSAC80,0.369713118,4,1.6,0.321,59.04,10.96565495,1.395700637,11.98729035
PiSAC80,0.369713118,4,1.5,0.318,60.85284215,11.22049442,1.623860484,11.97203433
PiSAC80,0.355501277,4,1.6,0.319,59.96361455,11.62768496,1.724730324,11.98740506
PiSAC80,0.369713118,4,1.6,0.321,59.4,10.96565495,1.957006369,11.94775547
PiSAC80,0.369713118,4,1.5,0.318,60.2842147,11.22049442,2.238604836,11.92185446
PiSAC80,0.355501277,4,1.5,0.319,59.63614554,11.62768496,1.924730324,11.90843934
PiSAC80,0.369713118,4,1.6,0.321,59.04,10.96565495,1.570063694,11.90043975
PiLIO50,0.426876416,4.1,0.7,0.393,37.61521867,6.28343949,1.841726619,11.59640682
PiLIO50,0.412344857,4.1,0.7,0.393,37.95562599,6.895907827,1.294703305,11.56382824
PiLIO50,0.426876416,4.1,0.7,0.395,38.50609147,6.21899841,0.9064,11.71119585
PiLIO50,0.426876416,4.1,0.7,0.392,37.91521867,6.28343949,1.841726619,11.25460495
PiLIO50,0.412344857,4.1,0.7,0.392,37.56259905,6.895907827,1.294703305,11.25689345
PiLIO50,0.426876416,4.1,0.7,0.394,37.50609147,6.21899841,0.9064,11.26067942
PiLIO50,0.426876416,4.1,0.7,0.392,37.61521867,6.28343949,1.841726619,11.26501494
PiLIO50,0.412344857,4.1,0.7,0.392,37.95562599,6.895907827,1.294703305,11.34587966
PiLIO50,0.426876416,4.1,0.7,0.394,38.30609147,6.21899841,0.9064,11.47616988
PiLIO60,0.412344857,4.1,0.8,0.385,53.50369335,10.36909019,2.221210922,11.55033233
PiLIO60,0.407203361,4.1,0.8,0.384,53.50877193,10.84802553,1.523714627,11.54780958
PiLIO60,0.412344857,4.1,0.8,0.385,52.52604679,10.57907348,2.193420531,11.55084302
PiLIO60,0.412344857,4.1,0.8,0.384,53.03693352,10.46909019,2.121092204,11.54491464
PiLIO60,0.407203361,4.1,0.8,0.383,53.30877193,10.64802553,1.923714627,11.54704257
PiLIO60,0.412344857,4.1,0.8,0.385,52.52604679,10.79073482,2.093420531,11.34056012
PiLIO60,0.412344857,4.1,0.8,0.384,53.3693352,10.36909019,2.121092204,11.34638194
PiLIO60,0.407203361,4.1,0.8,0.383,52.87719298,10.48025529,1.993714627,11.34402613
PiLIO60,0.412344857,4.1,0.8,0.384,52.92604679,10.57907348,2.034205311,11.34940699
PiLIO80,0.383949905,4,1.4,0.401,59.90415335,12.12829736,2.882259348,10.76430487
PiLIO80,0.369869161,4,1.4,0.4,59.60134202,13.0071885,2.264143426,10.7632029
PiLIO80,0.369869161,4,1.4,0.398,61.55669696,11.41972843,3.07239459,10.77181236
PiLIO80,0.383949905,4,1.4,0.4,59.80415335,12.12829736,2.782259348,10.76473936
PiLIO80,0.369869161,4,1.4,0.398,59.70134202,13.0071885,2.641434263,10.69392713
PiLIO80,0.369869161,4,1.4,0.398,59.56696958,11.41972843,2.723945903,10.69727336
PiLIO80,0.383949905,4,1.4,0.4,59.70415335,12.12829736,2.882259348,10.66751644
PiLIO80,0.369869161,4,1.4,0.398,59.60134202,13.0071885,2.964143426,10.71277006
PiLIO80,0.369869161,4,1.4,0.398,60.55669696,11.41972843,2.87239459,10.66104037
